Station,Uld Type,Carrier Code,Content Code,Sum Balance,Average Balance,Rolling SD Average,Slope,Total Uld In,Total Uld Out,Amount of Flight In,Amount of Flight Out,Sum Flight In-Out,Amount of stationary chunks,Test Statistics,p-value,#Lags Used,Number of Observations,Critical Value(1%),Critical Value(5%),Critical Value(10%),Stationarity At 1% Critical Size,Stationarity At 5% Critical Size,Stationarity At 10% Critical Size
BCN,PMC,CX,C,-16.11111111111111,-2.3333333333333335,7.698480486270485,0.012698412698412766,60.22222222222222,76.33333333333333,22.88888888888889,20.333333333333332,43.22222222222222,0.0,-8.219061778765244,6.503824740123805e-13,0.0,63.0,-3.5386953618719676,-2.9086446751210775,-2.591896782564878,True,True,True
BKK,AKE,CX,C,3.7142857142857144,0.48208616780045344,1.8332334970898922,0.1345238095238095,7.086956521739131,3.0,4.173913043478261,2.9130434782608696,7.086956521739131,4.0,-10.461616366407114,1.3544537356295913e-18,0.0,98.0,-3.4989097606014496,-2.891516256916761,-2.5827604414827157,True,True,True
BKK,PMC,CX,C,190.95652173913044,13.885093167701863,22.625019576888736,-1.6006211180124226,784.2608695652174,593.304347826087,256.82608695652175,159.2608695652174,416.0869565217391,1.0,-0.7798177011709909,0.8249787023110503,16.0,298.0,-3.4524859843440754,-2.871288184343229,-2.571964047565425,False,False,False
BLR,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
BLR,PMC,CX,C,39.6,9.9,14.908167970016379,-9.739999999999998,105.82608695652173,71.08695652173913,13.652173913043478,13.91304347826087,27.565217391304348,2.0,-9.649150753028243,1.4504304846613617e-16,0.0,87.0,-3.5078527246648834,-2.895382030636155,-2.584823877658872,True,True,True
BNE,AKE,CX,C,-12.75,-2.5708333333333333,1.90453872749285,0.656845238095238,0.8260869565217391,10.043478260869565,0.4782608695652174,5.695652173913044,6.173913043478261,4.0,0.7495712322667584,0.9907769644774808,8.0,92.0,-3.503514579651927,-2.893507960466837,-2.583823615311909,False,False,False
BNE,PMC,CX,C,48.17391304347826,3.5191113234591493,7.3956513597008655,-0.25504061156235064,104.26086956521739,56.08695652173913,37.608695652173914,27.82608695652174,65.43478260869566,0.0,-4.4239378035584345,0.0002691784533058713,5.0,308.0,-3.45176116018037,-2.870970093607691,-2.571794416006072,True,True,True
BOM,AKE,CX,C,17.0,2.4285714285714284,1.5837184615753164,-0.46428571428571414,1.2173913043478262,0.34782608695652173,0.8260869565217391,0.34782608695652173,1.173913043478261,0.0,-0.0,0.958532086060056,9.0,10.0,-4.331573,-3.23295,-2.7487,False,False,False
BOM,PMC,CX,C,239.47826086956522,17.226708074534166,101.2822885584959,-0.6662446249402767,598.5217391304348,359.04347826086956,141.7826086956522,144.08695652173913,285.8695652173913,1.0,-16.21701095659812,3.9330191093976666e-29,1.0,313.0,-3.4514162625887037,-2.8708187088091406,-2.5717136883095675,True,True,True
BOS,AKE,CX,C,,,,,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,,,,,,,,,,,
BOS,PMC,CX,C,47.0,3.8838389870998564,4.340753627879322,-0.30509562900867243,69.91304347826087,22.91304347826087,23.73913043478261,14.0,37.73913043478261,0.0,-7.269184273721622,1.6050684577515775e-10,2.0,262.0,-3.455558114028747,-2.872635586277424,-2.572682677000175,True,True,True
BRU,AKE,CX,C,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
BRU,PMC,CX,C,,,,,0.0,5.333333333333333,0.0,1.6666666666666667,1.6666666666666667,,,,0.0,3.0,-10.41719074074074,-5.77838074074074,-3.391681111111111,True,True,True
CCU,AKE,CX,C,,,,,0.0,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,,,,,,,,,,,
CCU,PMC,CX,C,34.3,8.575,9.192388155425117,-7.089999999999998,64.21739130434783,33.34782608695652,15.173913043478262,11.26086956521739,26.434782608695652,6.0,-9.35155865739201,8.269265137236185e-16,0.0,87.0,-3.5078527246648834,-2.895382030636155,-2.584823877658872,True,True,True
CDG,AKE,CX,C,12.125,1.6203373015873017,0.6953482244006606,-0.13244047619047622,8.73913043478261,0.17391304347826086,8.73913043478261,0.17391304347826086,8.91304347826087,7.0,-5.386432925993565,3.616683188977847e-06,0.0,117.0,-3.487517288664615,-2.8865777180380032,-2.5801239192052012,True,True,True
CDG,PMC,CX,C,17.391304347826086,1.1956521739130435,9.088839474693916,-0.5806975633062589,203.56521739130434,186.17391304347825,60.26086956521739,50.52173913043478,110.78260869565217,1.0,-4.853648276357197,4.289164361895558e-05,6.0,308.0,-3.45176116018037,-2.870970093607691,-2.571794416006072,True,True,True
CEB,AKE,CX,C,-20.0,-3.3333333333333335,2.4041630560342613,0.17142857142857137,0.43478260869565216,1.2173913043478262,0.43478260869565216,0.6086956521739131,1.0434782608695652,0.0,-2.3014524846901505,0.17149994423226522,9.0,12.0,-4.137829282407408,-3.1549724074074077,-2.7144769444444443,False,False,False
CEB,PMC,CX,C,24.608695652173914,1.8315814620162447,3.73768543461427,-0.3462494027711419,88.73913043478261,64.1304347826087,37.26086956521739,29.695652173913043,66.95652173913044,0.0,-4.198400184488044,0.0006630209027187649,14.0,299.0,-3.4524113009049935,-2.8712554127251764,-2.571946570731871,True,True,True
CGK,AKE,CX,C,0.6666666666666666,0.04444444444444443,0.9428090415820632,0.02142857142857137,1.608695652173913,2.0,1.173913043478261,1.7826086956521738,2.9565217391304346,2.0,-3.2523190888642435,0.01714907617963667,1.0,51.0,-3.5656240522121956,-2.920142229157715,-2.598014675124952,False,True,True
CGK,PMC,CX,C,46.130434782608695,3.350931677018634,11.773700225296066,0.00998566650740564,358.6521739130435,312.5217391304348,108.30434782608695,98.34782608695652,206.65217391304347,2.0,-12.206543030788657,1.1899968357846546e-22,2.0,312.0,-3.4514843502727306,-2.8708485956333556,-2.571729625657462,True,True,True
CGO,AKE,CX,C,,,,,0.30434782608695654,0.0,0.2608695652173913,0.0,0.2608695652173913,,-0.0,0.958532086060056,2.0,2.0,-20.825625000000002,-10.37019,-4.03822,False,False,False
CGO,PMC,CX,C,41.65217391304348,3.5082345191040845,16.3626674022968,-0.6831950658037614,175.7391304347826,134.08695652173913,28.08695652173913,19.782608695652176,47.869565217391305,2.0,-6.985755032220123,7.977060147772742e-10,3.0,257.0,-3.4560535712549925,-2.8728527662442334,-2.5727985212493754,True,True,True
CKG,AKE,CX,C,,,,,0.6086956521739131,0.0,0.391304347826087,0.0,0.391304347826087,,-2.7442189608189125,0.06669400397897027,0.0,8.0,-4.6651863281249994,-3.3671868750000002,-2.802960625,False,False,False
CKG,PMC,CX,C,-13.826086956521738,-2.6618357487922704,20.594561088749707,2.97716920760399,278.69565217391306,292.5217391304348,25.82608695652174,24.043478260869566,49.869565217391305,5.0,-10.355873120526184,2.4675946507585288e-18,3.0,210.0,-3.461878735881654,-2.875403665910809,-2.574159410430839,True,True,True
CMB,AKE,CX,C,,,,,0.08695652173913043,0.6086956521739131,0.08695652173913043,0.5652173913043478,0.6521739130434783,,-0.0,0.958532086060056,8.0,4.0,-7.355440625,-4.474365000000001,-3.1269325,False,False,False
CMB,PMC,CX,C,-25.52173913043478,-1.9581939799331105,6.716512548147212,0.010774008600095572,134.0,159.52173913043478,42.52173913043478,33.65217391304348,76.17391304347827,0.0,-5.236785535577408,7.392438054808843e-06,7.0,305.0,-3.451973573620699,-2.8710633193086648,-2.5718441306100512,True,True,True
